Count,wOBA,Runs/PA,ValB,ValS,Val1B,Val2B,Val3B,ValHR,ValOut
3&0,0.57,0.207,0.131,-0.07,0.287,0.583,0.861,1.2,-0.496
3&1,0.49,0.137,0.201,-0.076,0.356,0.652,0.93,1.269,-0.426
2&0,0.443,0.097,0.11,-0.062,0.397,0.693,0.971,1.31,-0.385
3&2,0.403,0.062,0.276,-0.351,0.432,0.728,1.006,1.345,-0.35
2&1,0.372,0.035,0.103,-0.071,0.459,0.755,1.033,1.372,-0.323
1&0,0.371,0.034,0.063,-0.05,0.46,0.756,1.034,1.373,-0.323
0&0,0.332,0,0.034,-0.043,0.494,0.79,1.068,1.407,-0.289
1&1,0.314,-0.016,0.05,-0.067,0.51,0.805,1.083,1.423,-0.273
2&2,0.29,-0.037,0.098,-0.252,0.53,0.826,1.104,1.443,-0.252
0&1,0.283,-0.043,0.027,-0.062,0.537,0.832,1.11,1.45,-0.246
1&2,0.237,-0.083,0.046,-0.206,0.577,0.872,1.15,1.49,-0.206
0&2,0.212,-0.104,0.022,-0.184,0.598,0.894,1.172,1.511,-0.184
